id	tick_lower	tick_upper	ticks	deposited_token0	deposited_token1	total_deposited_usd	total_profit_usd	apr_30d	apr	duration_h	in_range_h	in_range_percent	impermanent_loss	price_lower	price_upper	price_range	price_mid	wallet	auto_rebalance	cutoff_tick_low	cutoff_tick_high	buffer_ticks_below	buffer_ticks_above	tick_spaces_below	tick_spaces_above	dust_bp	pool_id	pool_symbol
197340	49900	50000	100	2254583384836569230250	113643138656545403438634	137234.03	2139.13	46.76	568.94	9	9	100	0.20	146.8998	148.3761	1.4763	147.6379	0xD735312384B1C500a7e8B7e4236Cf2cB0706d9f6	0	0	0	0	0	0	0	0	0x66af3655e14a045f1742b3c9544553ef7915ed35	SHADOW/stS
175428	49400	51400	2000	159238240850061443986	19663444409381007630178	15976.63	1219.38	4.16	50.65	1319	839	64	8.69	139.7357	170.6719	30.9362	155.2038	0x2007FF24Ca164d69C6B709B35CD2774109c488E2	0	0	0	0	0	10	9	0	0x66af3655e14a045f1742b3c9544553ef7915ed35	SHADOW/stS
308342	-82650	-82150	500	142025987019387335522177	45297115862734111807	156950.61	828.61	15.84	192.70	24	24	100	0.02	0.0003	0.0003	0.0000	0.0003	0x5C0d9743880D968C525Efa29723EaeB6Be55e47E	1	-887272	887272	0	0	5	4	100	0xb6d9b069f6b96a507243d501d1a23b3fccfc85d3	wS/WETH
51559	42700	42800	100	27164860028928080031	11438491365339752169514	7090.88	801.55	339.12	4125.92	23	23	100	0.00	71.5064	72.2250	0.7186	71.8657	0x44FdbDF7bdDE9E83c74B076B775f1fA40E6CA797	1	-887272	887272	0	0	0	0	100	0x66af3655e14a045f1742b3c9544553ef7915ed35	SHADOW/stS
277898	50200	50700	500	133375711593939254623	24851505755036447618283	17907.91	673.95	37.63	457.88	54	54	100	0.00	151.3733	159.1340	7.7607	155.2536	0x4c9F0dF5bFDc1Fa051E7F3D65f284D001C30Bbc8	1	-887272	887272	0	0	2	2	50	0x66af3655e14a045f1742b3c9544553ef7915ed35	SHADOW/stS
275362	-84250	-81200	3050	118761315630119338134196	35285206315749975709	126575.63	619.27	3.67	44.64	84	84	100	0.00	0.0002	0.0003	0.0001	0.0003	0xAAF66ffEb4006b20F38422221093559645554F20	0	0	0	0	0	0	0	0	0xb6d9b069f6b96a507243d501d1a23b3fccfc85d3	wS/WETH
161968	50100	50800	700	822837657347363564471	22680016931126671300550	39935.70	614.56	11.54	140.42	76	76	100	0.00	149.8672	160.7332	10.8660	155.3002	0x9BE43Ec7472E708858D4b8711F54B238bf0ac789	1	-887272	887272	0	0	1	5	300	0x66af3655e14a045f1742b3c9544553ef7915ed35	SHADOW/stS
48440	196800	197700	900	26546623975	6097571579621942177	37522.25	606.30	6.93	84.25	156	156	100	0.00	351955767.6541	385099217.1340	33143449.4799	368527492.3940	0x531677d0e1Ca6f5eC3B9c6524a5e4B43f97C0944	0	0	0	0	0	0	0	0	0x6fb30f3fcb864d49cdff15061ed5c6adfee40b40	USDC.e/WETH
226439	-84550	-83150	1400	13880372754662549861331	14027408888987031791	32619.81	596.06	9.14	111.16	134	134	100	0.00	0.0002	0.0002	0.0000	0.0002	0x8D11ceb5f689483aa27960487a90DB51Ff7Ac529	1	-887272	887272	0	0	22	5	100	0xb6d9b069f6b96a507243d501d1a23b3fccfc85d3	wS/WETH
157925	50200	50300	100	69657289835398556300	15330968886485450309441	10622.69	543.98	76.81	934.58	29	29	100	0.01	151.3733	152.8946	1.5213	152.1339	0xb1E4A2686A58fed058E0A4741A31aae56C20CD87	0	0	0	0	0	0	0	0	0x66af3655e14a045f1742b3c9544553ef7915ed35	SHADOW/stS
44833	43500	43600	100	137605378512776491658	8415942064141434403464	9175.03	495.75	162.10	1972.19	11	11	100	0.00	77.4616	78.2401	0.7785	77.8508	0x44e19e5Bfb18b4c0110146a733746DF3C5c669d7	1	-887272	887272	0	0	0	0	100	0x66af3655e14a045f1742b3c9544553ef7915ed35	SHADOW/stS
95574	-82800	-75200	7600	33002500951461614709972	4863446822062223064	26278.53	472.52	5.39	65.63	238	238	100	0.13	0.0003	0.0005	0.0003	0.0004	0x9844c3688dAaA98De18fBe52499A6B152236896b	0	0	0	0	0	0	0	0	0xb6d9b069f6b96a507243d501d1a23b3fccfc85d3	wS/WETH
87944	-82200	-79200	3000	59000466231956890306621	21798525944472379594	70566.59	448.43	3.18	38.66	134	134	100	0.02	0.0003	0.0004	0.0001	0.0003	0xf4E14d778c2dbD6fd1A04F08721941Eb3E1c9d6C	1	-887272	887272	0	0	26	33	100	0xb6d9b069f6b96a507243d501d1a23b3fccfc85d3	wS/WETH
262521	49700	51300	1600	128236688801655651725	25280240558752861814555	17966.49	417.72	11.62	141.44	124	124	100	0.00	143.9911	168.9738	24.9827	156.4824	0x80ee556D3c42B62025158c3DB0E9c0Ef1a610E51	1	-887272	887272	0	0	8	7	50	0x66af3655e14a045f1742b3c9544553ef7915ed35	SHADOW/stS
260423	199900	201100	1200	7917297351	5900086366703824957	18537.45	407.19	1.43	17.43	1085	546	50	0.08	479857895.3241	541035020.1799	61177124.8559	510446457.7520	0xF0f408B2e3d9B02BD01D07E298623a1E099AF30c	0	0	0	0	0	0	0	0	0x6fb30f3fcb864d49cdff15061ed5c6adfee40b40	USDC.e/WETH
196424	-83400	-82000	1400	13153698352460709089960	14668328483284939911	33387.61	405.74	9.11	110.89	83	83	100	0.22	0.0002	0.0003	0.0000	0.0003	0x8D11ceb5f689483aa27960487a90DB51Ff7Ac529	1	-887272	887272	0	0	22	5	100	0xb6d9b069f6b96a507243d501d1a23b3fccfc85d3	wS/WETH
